Year of Birth,Gender,Ethnicity,Child's First Name,Count
2019,male,hispanic,jacob,209
2015,male,white non hispanic,james,209
2015,female,white non hispanic,sarah,208
2019,male,white non hispanic,james,208
2019,female,white non hispanic,leah,207
2012,female,hispanic,mia,207
2011,male,hispanic,anthony,207
2014,female,white non hispanic,leah,206
2015,female,white non hispanic,esther,206
2014,male,white non hispanic,samuel,206
2016,male,hispanic,lucas,206
2013,male,white non hispanic,alexander,206
2014,female,white non hispanic,emma,205
2018,male,hispanic,lucas,205
2019,male,white non hispanic,jack,204
2014,male,hispanic,daniel,204
2019,female,white non hispanic,esther,202
2016,female,white non hispanic,sarah,202
2016,female,white non hispanic,emma,201
2019,female,white non hispanic,olivia,200
2018,male,white non hispanic,benjamin,200
2012,male,hispanic,alexander,200
2015,male,white non hispanic,alexander,200
2014,female,hispanic,sofia,199
2017,female,white non hispanic,emma,199
2013,male,hispanic,mason,199
2014,male,white non hispanic,jack,199
2012,female,asian and pacific islander,olivia,198
2012,female,asian and pacific islander,sophia,198
2018,female,white non hispanic,olivia,198
2012,male,asian and pacific islander,samuel,198
2012,male,hispanic,sebastian,198
2016,female,hispanic,emma,197
2018,female,hispanic,mia,197
2012,male,white non hispanic,ryan,197
2017,male,white non hispanic,henry,197
2011,male,white non hispanic,alexander,197
2015,female,hispanic,emma,196
2017,female,white non hispanic,chaya,196
2016,male,white non hispanic,daniel,196
2016,male,white non hispanic,henry,196
2018,male,white non hispanic,alexander,195
2019,male,hispanic,ethan,195
2017,male,white non hispanic,daniel,195
2017,male,white non hispanic,jack,195
2012,male,hispanic,christopher,195
2014,male,white non hispanic,james,195
2014,female,white non hispanic,chaya,194
2014,male,hispanic,angel,194
2015,male,hispanic,angel,194
2012,male,hispanic,anthony,194
2019,female,hispanic,sophia,193
2014,female,hispanic,camila,193
2019,female,white non hispanic,miriam,193
2016,male,asian and pacific islander,ethan,193
2017,male,white non hispanic,benjamin,193
2012,female,asian and pacific islander,esther,192
2018,male,white non hispanic,james,192
2016,male,hispanic,aiden,192
2013,male,hispanic,liam,192
2014,male,white non hispanic,adam,191
2011,female,hispanic,ashley,190
2016,female,white non hispanic,charlotte,190
2017,female,white non hispanic,sarah,190
2015,male,asian and pacific islander,jayden,190
2018,male,white non hispanic,william,190
2011,male,hispanic,joshua,190
2015,male,hispanic,lucas,190
2018,female,white non hispanic,chaya,189
2019,male,white non hispanic,noah,189
2011,male,white non hispanic,matthew,189
2015,female,asian and pacific islander,olivia,188
2011,female,hispanic,camila,188
2016,male,hispanic,daniel,188
2011,male,hispanic,aiden,188
2012,male,hispanic,mason,188
2013,female,hispanic,sofia,187
2013,female,white non hispanic,sophia,187
2014,male,asian and pacific islander,jayden,187
2012,male,white non hispanic,ethan,187
2012,male,white non hispanic,jayden,187
2012,male,asian and pacific islander,james,187
2014,male,hispanic,lucas,187
2015,male,white non hispanic,jack,187
2015,male,hispanic,aiden,187
2016,male,hispanic,angel,187
2012,male,hispanic,michael,187
2012,female,hispanic,emily,186
2012,female,asian and pacific islander,rachel,186
2019,female,white non hispanic,emma,186
2013,male,hispanic,david,186
2018,female,white non hispanic,emma,185
2014,female,white non hispanic,sarah,185
2013,male,hispanic,anthony,185
2013,male,hispanic,sebastian,185
2019,female,hispanic,mia,184
2013,female,hispanic,emily,184
2011,male,black non hispanic,jayden,184
2014,male,hispanic,mason,184
2011,male,hispanic,brandon,184
2012,male,hispanic,dylan,184
2011,female,white non hispanic,leah,183
2011,male,white non hispanic,jack,183
2017,male,white non hispanic,noah,183
2014,male,white non hispanic,william,183
2011,male,hispanic,jonathan,183
2011,male,hispanic,kevin,183
2011,male,hispanic,sebastian,183
2013,female,white non hispanic,sarah,182
2013,female,hispanic,emma,182
2016,female,white non hispanic,chaya,182
2019,male,white non hispanic,benjamin,182
2017,male,white non hispanic,alexander,182
2013,male,hispanic,aiden,182
2011,male,white non hispanic,samuel,181
2011,female,white non hispanic,sophia,180
2015,female,hispanic,camila,180
2016,female,hispanic,camila,180
2012,male,asian and pacific islander,jack,180
2015,male,white non hispanic,william,180
2012,male,hispanic,kevin,180
2015,female,white non hispanic,rachel,179
2013,female,white non hispanic,leah,179
2016,female,hispanic,sofia,179
2014,male,asian and pacific islander,ethan,179
2017,male,hispanic,ethan,179
2018,male,white non hispanic,jack,179
2011,female,white non hispanic,chaya,178
2017,female,hispanic,camila,178
2015,female,hispanic,sofia,178
2016,female,white non hispanic,leah,178
2016,male,white non hispanic,adam,178
2016,male,white non hispanic,jack,178
2018,male,white non hispanic,samuel,178
2015,male,white non hispanic,henry,178
2011,male,hispanic,david,178
2018,female,hispanic,camila,177
2011,female,white non hispanic,sarah,177
2015,female,white non hispanic,miriam,177
2011,male,asian and pacific islander,ethan,177
2013,male,white non hispanic,william,177
2015,male,hispanic,alexander,177
2012,male,hispanic,joshua,177
2011,female,black non hispanic,madison,176
2013,female,white non hispanic,rachel,176
2019,male,hispanic,lucas,176
2014,male,white non hispanic,henry,176
2012,male,hispanic,david,176
2013,female,white non hispanic,chaya,175
2019,male,white non hispanic,henry,175
2012,female,asian and pacific islander,chaya,174
2015,female,white non hispanic,charlotte,174
2019,male,white non hispanic,daniel,174
2014,male,hispanic,michael,174
2015,male,hispanic,mason,174
2011,male,hispanic,michael,174
2018,female,white non hispanic,rachel,173
2011,male,asian and pacific islander,jayden,173
2013,male,white non hispanic,john,173
2011,male,hispanic,mason,173
2012,female,white non hispanic,chloe,172
2016,female,asian and pacific islander,olivia,172
2014,female,white non hispanic,sophia,172
2015,male,asian and pacific islander,ethan,172
2019,male,hispanic,jayden,172
2011,male,white non hispanic,abraham,172
2011,male,white non hispanic,james,172
2014,male,white non hispanic,abraham,172
2011,female,white non hispanic,rachel,171
2019,female,white non hispanic,rachel,171
2012,male,black non hispanic,jayden,171
2015,male,asian and pacific islander,ryan,171
2017,male,hispanic,aaron,171
2013,male,hispanic,christopher,171
2013,male,hispanic,justin,171
2014,female,hispanic,emily,170
2011,male,white non hispanic,william,170
2016,male,white non hispanic,william,169
2012,male,asian and pacific islander,chaim,169
2017,male,white non hispanic,adam,169
2016,male,hispanic,alexander,169
2019,female,white non hispanic,sarah,168
2016,female,white non hispanic,ava,168
2019,male,white non hispanic,alexander,168
2019,male,white non hispanic,leo,168
2012,male,asian and pacific islander,matthew,168
2012,male,asian and pacific islander,nicholas,168
2016,male,hispanic,mason,168
2014,female,hispanic,emma,167
2017,female,white non hispanic,sophia,167
2018,female,white non hispanic,charlotte,167
2011,male,black non hispanic,aiden,167
2018,male,white non hispanic,daniel,167
2014,male,hispanic,david,167
2016,female,white non hispanic,chana,166
2011,male,white non hispanic,john,166
2014,male,white non hispanic,nicholas,166
2012,female,hispanic,sofia,165
2011,female,hispanic,sofia,165
2012,female,asian and pacific islander,ava,165
2017,female,white non hispanic,rachel,165
2013,male,asian and pacific islander,ethan,165
2017,male,white non hispanic,chaim,165
2012,male,asian and pacific islander,ryan,165
2015,male,white non hispanic,oliver,165
2014,male,hispanic,aiden,165
2018,male,asian and pacific islander,muhammad,164
2014,male,asian and pacific islander,ryan,164
2018,male,white non hispanic,leo,164
2017,male,white non hispanic,william,164
2012,male,asian and pacific islander,john,164
2012,male,hispanic,adrian,164
2015,male,black non hispanic,noah,163
2016,male,white non hispanic,abraham,163
2016,male,hispanic,christopher,163
2019,female,hispanic,camila,162
2011,female,hispanic,emily,162
2011,female,white non hispanic,ava,162
2013,male,asian and pacific islander,ryan,162
2018,male,white non hispanic,henry,162
2012,male,asian and pacific islander,henry,162
2012,male,asian and pacific islander,william,162
2012,male,hispanic,noah,162
2012,female,hispanic,camila,161
2017,female,white non hispanic,miriam,161
2018,male,black non hispanic,noah,161
2017,male,hispanic,angel,161
2013,male,white non hispanic,henry,161
2018,male,white non hispanic,theodore,161
2011,female,white non hispanic,isabella,160
2013,female,white non hispanic,miriam,160
2016,male,asian and pacific islander,ryan,160
2012,female,black non hispanic,madison,159
2012,female,hispanic,ashley,159
2016,female,white non hispanic,miriam,159
2013,male,white non hispanic,noah,159
2017,male,white non hispanic,samuel,159
2012,male,hispanic,jonathan,159
2015,female,white non hispanic,chaya,158
2019,female,white non hispanic,charlotte,158
2017,male,hispanic,daniel,158
2013,male,white non hispanic,samuel,158
2014,male,white non hispanic,john,158
2011,male,hispanic,gabriel,158
2013,female,hispanic,camila,157
2017,female,white non hispanic,ava,157
2017,female,white non hispanic,charlotte,157
2017,male,asian and pacific islander,muhammad,157
2016,male,asian and pacific islander,muhammad,157
2015,male,hispanic,anthony,157
2018,male,white non hispanic,john,157
2011,male,hispanic,adrian,157
2011,male,hispanic,noah,157
2012,male,black non hispanic,aiden,156
2011,male,black non hispanic,elijah,156
2019,male,white non hispanic,theodore,156
2016,male,white non hispanic,samuel,156
2013,male,hispanic,lucas,156
2013,male,hispanic,michael,156
2013,male,white non hispanic,nicholas,156
2014,male,hispanic,christopher,156
2018,female,hispanic,sofia,155
2012,female,asian and pacific islander,chana,155
2017,male,white non hispanic,leo,155
2013,male,white non hispanic,matthew,155
2018,male,white non hispanic,liam,155
2018,male,white non hispanic,noah,155
2019,female,hispanic,luna,154
2019,female,white non hispanic,sophia,154
2019,male,asian and pacific islander,ethan,154
2015,male,asian and pacific islander,muhammad,154
2018,female,hispanic,luna,153
2018,female,white non hispanic,chana,153
2019,male,asian and pacific islander,lucas,153
2011,male,black non hispanic,jeremiah,153
2018,male,hispanic,aiden,153
2011,male,white non hispanic,nicholas,153
2015,male,hispanic,david,153
2017,male,white non hispanic,john,153
2018,male,white non hispanic,adam,153
2012,male,hispanic,brandon,153
2014,male,hispanic,anthony,152
2014,male,hispanic,joshua,152
2015,male,hispanic,christopher,152
2012,male,black non hispanic,ethan,151
2018,male,hispanic,alexander,151
2015,male,white non hispanic,adam,151
2015,male,white non hispanic,chaim,151
2013,male,white non hispanic,adam,151
2011,male,hispanic,christian,151
2012,female,asian and pacific islander,miriam,150
2013,female,white non hispanic,ava,150
2013,female,white non hispanic,chana,150
2011,male,asian and pacific islander,ryan,150
2015,male,hispanic,michael,150
2017,male,white non hispanic,theodore,150
2013,male,white non hispanic,chaim,150
2012,male,hispanic,joseph,150
2011,male,white non hispanic,henry,149
2014,male,white non hispanic,ethan,149
2014,female,hispanic,victoria,148
2012,female,asian and pacific islander,ella,148
2016,female,white non hispanic,sara,148
2016,male,black non hispanic,noah,148
2017,male,black non hispanic,noah,148
2013,male,asian and pacific islander,lucas,148
2016,male,asian and pacific islander,lucas,148
2017,male,hispanic,logan,148
2019,male,white non hispanic,charles,148
2019,male,asian and pacific islander,aiden,147
2019,male,hispanic,mateo,147
2016,male,white non hispanic,noah,147
2015,male,white non hispanic,theodore,147
2011,male,white non hispanic,chaim,147
2017,male,white non hispanic,charles,147
2017,female,hispanic,sofia,146
2014,female,white non hispanic,ava,146
2013,male,black non hispanic,ethan,146
2017,male,asian and pacific islander,ethan,146
2017,male,hispanic,alexander,146
2017,male,hispanic,mason,146
2019,male,white non hispanic,oliver,146
2016,male,white non hispanic,john,146
2015,male,hispanic,adrian,146
2018,male,asian and pacific islander,ethan,145
2019,male,white non hispanic,samuel,145
2013,male,hispanic,joshua,145
2015,male,white non hispanic,abraham,145
2012,female,white non hispanic,sophia,144
2018,female,white non hispanic,sophia,144
2016,female,white non hispanic,sophia,144
2017,male,hispanic,aiden,144
2019,male,white non hispanic,john,144
2011,male,hispanic,jose,144
2015,female,hispanic,abigail,143
2014,female,white non hispanic,chana,143
2014,female,white non hispanic,emily,143
2014,female,white non hispanic,miriam,143
2013,female,white non hispanic,isabella,143
2017,male,asian and pacific islander,ryan,143
2019,male,asian and pacific islander,muhammad,143
2018,male,hispanic,aaron,143
2016,male,white non hispanic,isaac,143
2019,male,white non hispanic,liam,143
2017,male,white non hispanic,oliver,143
2016,male,white non hispanic,oliver,142
2014,female,asian and pacific islander,olivia,141
2012,male,black non hispanic,jeremiah,141
2016,male,hispanic,aaron,141
2019,male,white non hispanic,abraham,141
2013,male,white non hispanic,abraham,141
2012,female,hispanic,madison,140
2012,male,asian and pacific islander,adam,140
2014,male,hispanic,adrian,140
2016,male,white non hispanic,chaim,140
2013,male,white non hispanic,liam,140
2011,male,hispanic,joseph,140
2012,male,hispanic,liam,140
2014,female,hispanic,ashley,139
2014,female,white non hispanic,mia,139
2017,female,white non hispanic,rivka,139
2014,male,asian and pacific islander,lucas,139
2012,male,asian and pacific islander,charles,139
2013,male,hispanic,kevin,139
2015,male,white non hispanic,john,139
2015,male,white non hispanic,nicholas,139
2014,male,white non hispanic,liam,139
2012,male,hispanic,christian,139
2012,male,hispanic,jose,139
2015,female,hispanic,ashley,138
2018,female,white non hispanic,mia,138
2019,female,white non hispanic,rivka,138
2019,female,white non hispanic,sara,138
2014,male,black non hispanic,ethan,138
2013,male,black non hispanic,jayden,138
2016,male,asian and pacific islander,jayden,138
2019,male,hispanic,aiden,138
2017,male,hispanic,mateo,138
2016,male,hispanic,mateo,138
2013,male,hispanic,joseph,138
2014,male,hispanic,gabriel,138
2015,male,white non hispanic,ethan,138
2019,male,white non hispanic,chaim,138
2014,male,white non hispanic,ryan,138
2015,female,white non hispanic,ava,137
2015,female,hispanic,emily,137
2012,female,asian and pacific islander,emily,137
2013,female,white non hispanic,charlotte,137
2018,female,white non hispanic,miriam,137
2016,female,white non hispanic,maya,137
2016,male,black non hispanic,aiden,137
2016,male,hispanic,joshua,137
2018,male,white non hispanic,isaac,137
2014,male,white non hispanic,noah,137
2017,male,white non hispanic,abraham,137
2017,female,asian and pacific islander,olivia,136
2015,female,white non hispanic,chana,136
2012,female,asian and pacific islander,mia,136
2016,female,white non hispanic,emily,136
2017,male,asian and pacific islander,jayden,136
2017,male,hispanic,joshua,136
2016,male,white non hispanic,nicholas,136
2015,male,white non hispanic,liam,136
2015,male,white non hispanic,noah,136
2013,male,white non hispanic,charles,136
2013,male,white non hispanic,dylan,136
2013,male,white non hispanic,ryan,136
2011,male,hispanic,dylan,136
2014,female,hispanic,valentina,135
2019,male,black non hispanic,noah,135
2018,male,asian and pacific islander,jasper,135
2014,male,asian and pacific islander,aiden,135
2018,male,hispanic,mason,135
2011,male,white non hispanic,anthony,135
2016,male,hispanic,adrian,135
2013,male,hispanic,adrian,135
2018,male,white non hispanic,oliver,135
2013,female,black non hispanic,madison,134
2017,female,white non hispanic,mia,134
2019,female,white non hispanic,mia,134
2013,female,white non hispanic,mia,134
2015,male,hispanic,joseph,134
2019,male,white non hispanic,adam,134
2018,male,white non hispanic,chaim,134
2014,female,white non hispanic,charlotte,133
2012,female,asian and pacific islander,sara,133
2013,male,black non hispanic,aiden,133
2013,male,black non hispanic,noah,133
2015,male,asian and pacific islander,aiden,133
2016,male,asian and pacific islander,aiden,133
2018,male,hispanic,daniel,133
2011,male,white non hispanic,andrew,133
2012,male,asian and pacific islander,anthony,133
2016,male,white non hispanic,ethan,133
2013,male,hispanic,gabriel,133
2015,male,hispanic,logan,133
2019,male,white non hispanic,william,133
2012,female,white non hispanic,olivia,132
2013,female,hispanic,ashley,132
2018,female,hispanic,valentina,132
2011,female,white non hispanic,chana,132
2017,female,white non hispanic,chana,132
2013,male,black non hispanic,elijah,132
2017,male,hispanic,david,132
2012,male,asian and pacific islander,abraham,132
2012,male,asian and pacific islander,liam,132
2019,male,white non hispanic,isaac,132
2012,male,hispanic,gabriel,132
2019,female,asian and pacific islander,chloe,131
2011,female,white non hispanic,miriam,131
2013,female,white non hispanic,sara,131
2011,male,white non hispanic,liam,131
2014,male,hispanic,brandon,131
2012,male,asian and pacific islander,ethan,131
2012,male,asian and pacific islander,noah,131
2014,male,white non hispanic,charles,131
2014,male,white non hispanic,matthew,131
2011,male,hispanic,luis,131
2014,female,black non hispanic,madison,130
2017,female,white non hispanic,isabella,130
2016,male,hispanic,anthony,130
2015,male,white non hispanic,matthew,130
2017,male,white non hispanic,ryan,130
2014,male,white non hispanic,chaim,130
2015,female,white non hispanic,mia,129
2015,male,black non hispanic,liam,129
2012,male,white non hispanic,lucas,129
2017,male,asian and pacific islander,aiden,129
2014,male,asian and pacific islander,muhammad,129
2019,male,hispanic,mason,129
2018,male,hispanic,david,129
2017,male,hispanic,adrian,129
2011,male,white non hispanic,adam,129
2011,male,white non hispanic,charles,129
2014,male,hispanic,aaron,129
2016,male,hispanic,david,129
2016,male,white non hispanic,ryan,129
2015,male,white non hispanic,lucas,129
2015,female,black non hispanic,madison,128
2017,female,hispanic,victoria,128
2015,female,white non hispanic,emily,128
2018,female,white non hispanic,rivka,128
2014,male,black non hispanic,noah,128
2011,male,black non hispanic,joshua,128
2019,male,hispanic,daniel,128
2011,male,white non hispanic,lucas,128
2013,male,hispanic,brandon,128
2016,male,white non hispanic,liam,128
2012,male,hispanic,luis,128
2011,female,white non hispanic,charlotte,127
2011,female,white non hispanic,ella,127
2015,female,white non hispanic,rivka,127
2015,female,white non hispanic,sara,127
2013,female,white non hispanic,ella,127
2016,female,white non hispanic,rivka,127
2018,male,white non hispanic,gabriel,127
2011,male,white non hispanic,dylan,127
2016,male,white non hispanic,matthew,127
2011,female,hispanic,hailey,126
2015,female,white non hispanic,ella,126
2018,female,white non hispanic,ella,126
2012,female,asian and pacific islander,charlotte,126
2018,male,hispanic,angel,126
2012,male,asian and pacific islander,thomas,126
2015,male,hispanic,aaron,126
2016,male,hispanic,michael,126
2013,male,hispanic,jonathan,126
2015,male,white non hispanic,charles,126
2018,male,white non hispanic,abraham,126
2011,male,white non hispanic,ryan,126
2014,male,white non hispanic,theodore,126
2012,male,hispanic,aaron,126
2012,male,hispanic,ryan,126
2012,female,hispanic,emma,125
2015,female,white non hispanic,sophia,125
2012,male,white non hispanic,justin,125
2017,male,asian and pacific islander,lucas,125
2017,male,hispanic,anthony,125
2014,male,hispanic,justin,125
2013,male,white non hispanic,ethan,125
2013,male,white non hispanic,lucas,125
2011,male,hispanic,andrew,125
2014,male,white non hispanic,isaac,125
2013,female,asian and pacific islander,sophia,124
2016,female,hispanic,emily,124
2017,female,hispanic,abigail,124
2017,female,hispanic,valentina,124
2013,female,hispanic,leah,124
2014,female,white non hispanic,abigail,124
2019,female,white non hispanic,chana,124
2018,male,black non hispanic,liam,124
2012,male,black non hispanic,joshua,124
2011,male,black non hispanic,ethan,124
2017,male,hispanic,michael,124
2012,male,asian and pacific islander,dylan,124
2012,male,asian and pacific islander,lucas,124
2015,male,hispanic,gabriel,124
2015,male,hispanic,isaac,124
2013,male,white non hispanic,anthony,124
2013,male,hispanic,jeremy,124
2013,male,hispanic,jose,124
2016,male,white non hispanic,gabriel,124
2019,female,hispanic,valentina,123
2011,female,hispanic,leah,123
2017,female,white non hispanic,sara,123
2012,female,asian and pacific islander,isabella,123
2015,male,black non hispanic,aiden,123
2012,male,white non hispanic,eric,123
2013,male,black non hispanic,joshua,123
2015,male,white non hispanic,gabriel,123
2015,male,hispanic,joshua,123
2013,male,white non hispanic,isaac,123
2013,female,asian and pacific islander,chloe,122
2011,female,hispanic,madison,122
2011,female,white non hispanic,sofia,122
2013,female,white non hispanic,maya,122
2013,female,white non hispanic,sofia,122
2017,female,white non hispanic,ella,122
2015,male,asian and pacific islander,lucas,122
2017,male,white non hispanic,nicholas,122
2018,male,white non hispanic,mordechai,122
2013,male,hispanic,aaron,122
2011,male,hispanic,lucas,122
2011,male,hispanic,ryan,122
2014,female,white non hispanic,sara,121
2018,female,white non hispanic,sara,121
2014,male,black non hispanic,aiden,121
2014,male,black non hispanic,jayden,121
2011,male,black non hispanic,josiah,121
2012,male,asian and pacific islander,andrew,121
2011,male,white non hispanic,thomas,121
2016,male,white non hispanic,leo,121
2013,male,white non hispanic,oliver,121
2014,male,white non hispanic,lucas,121
2017,female,hispanic,emily,120
2015,female,hispanic,madison,120
2018,female,white non hispanic,ava,120
2012,female,asian and pacific islander,maya,120
2013,female,white non hispanic,rivka,120
2017,male,hispanic,joseph,120
2017,male,white non hispanic,thomas,120
2011,male,hispanic,jeremiah,120
2013,male,white non hispanic,andrew,120
2012,male,hispanic,lucas,120
2011,female,asian and pacific islander,sophia,119
2018,female,asian and pacific islander,chloe,119
2015,female,asian and pacific islander,chloe,119
2016,female,hispanic,valentina,119
2011,female,white non hispanic,emily,119
2015,female,white non hispanic,sofia,119
2018,male,hispanic,adrian,119
2014,male,hispanic,elijah,119
2015,male,white non hispanic,ryan,119
2017,male,white non hispanic,liam,119
2017,female,hispanic,leah,118
2015,female,hispanic,victoria,118
2019,female,white non hispanic,ella,118
2017,female,white non hispanic,amelia,118
2018,female,white non hispanic,maya,118
2018,male,black non hispanic,aiden,118
2018,male,asian and pacific islander,aiden,118
2019,male,asian and pacific islander,jayden,118
2012,male,white non hispanic,aiden,118
2018,male,white non hispanic,matthew,118
2011,male,white non hispanic,ethan,118
2014,male,white non hispanic,menachem,118
2014,male,white non hispanic,thomas,118
2011,male,hispanic,jeremy,118
2012,male,hispanic,jeremiah,118
2016,female,hispanic,abigail,117
2012,female,hispanic,genesis,117
2013,female,hispanic,samantha,117
2017,female,hispanic,ava,117
2014,female,white non hispanic,isabella,117
2016,female,white non hispanic,elizabeth,117
2016,female,white non hispanic,mia,117
2014,male,black non hispanic,elijah,117
2018,male,asian and pacific islander,ryan,117
2019,male,hispanic,angel,117
2019,male,white non hispanic,mordechai,117
2014,male,hispanic,kevin,117
2015,male,white non hispanic,leo,117
2016,male,white non hispanic,eli,117
2016,male,white non hispanic,theodore,117
